Plot Title: BridgerCreek_EC,,,,,,,,,,
#,"Date Time, GMT-07:00","Full Range, μS/cm (LGR S/N: 10778332, SEN S/N: 10778332)","Temp, °C (LGR S/N: 10778332, SEN S/N: 10778332)",Coupler Detached (LGR S/N: 10778332),Coupler Attached (LGR S/N: 10778332),Bad Battery (LGR S/N: 10778332),Good Battery (LGR S/N: 10778332),Host Connected (LGR S/N: 10778332),Stopped (LGR S/N: 10778332),End Of File (LGR S/N: 10778332)
40,1/30/2026 10:50,7.1,19.77,,,,,,,
41,1/30/2026 10:50,3.7,19.77,,,,,,,
42,1/30/2026 10:50,7.1,19.77,,,,,,,
43,1/30/2026 10:50,7.1,19.77,,,,,,,
44,1/30/2026 10:50,7.1,19.78,,,,,,,
45,1/30/2026 10:50,7.1,19.78,,,,,,,
46,1/30/2026 10:50,7.1,19.78,,,,,,,
47,1/30/2026 10:50,7.1,19.78,,,,,,,
48,1/30/2026 10:50,4.8,19.77,,,,,,,
49,1/30/2026 10:50,7.1,19.78,,,,,,,
50,1/30/2026 10:50,7.1,19.78,,,,,,,
51,1/30/2026 10:50,7.1,19.78,,,,,,,
52,1/30/2026 10:50,7.1,19.78,,,,,,,
53,1/30/2026 10:50,7.1,19.78,,,,,,,
54,1/30/2026 10:50,4.8,19.78,,,,,,,
55,1/30/2026 10:50,7.1,19.78,,,,,,,
56,1/30/2026 10:50,7.1,19.8,,,,,,,
57,1/30/2026 10:50,7.1,19.78,,,,,,,
58,1/30/2026 10:50,4.8,19.78,,,,,,,
59,1/30/2026 10:50,7.1,19.78,,,,,,,
60,1/30/2026 10:50,7.1,19.78,,,,,,,
61,1/30/2026 10:51,7.1,19.8,,,,,,,
62,1/30/2026 10:51,7.1,19.8,,,,,,,
63,1/30/2026 10:51,7.1,19.8,,,,,,,
64,1/30/2026 10:51,7.1,19.8,,,,,,,
65,1/30/2026 10:51,7.1,19.8,,,,,,,
66,1/30/2026 10:51,7.1,19.8,,,,,,,
67,1/30/2026 10:51,7.1,19.81,,,,,,,
68,1/30/2026 10:51,7.1,19.8,,,,,,,
69,1/30/2026 10:51,7.1,19.8,,,,,,,
70,1/30/2026 10:51,7.1,19.81,,,,,,,
71,1/30/2026 10:51,7.1,19.81,,,,,,,
72,1/30/2026 10:51,7.1,19.81,,,,,,,
73,1/30/2026 10:51,7.1,19.81,,,,,,,
74,1/30/2026 10:51,7.1,19.81,,,,,,,
75,1/30/2026 10:51,7.1,19.81,,,,,,,
76,1/30/2026 10:51,4.8,19.81,,,,,,,
77,1/30/2026 10:51,7.1,19.81,,,,,,,
78,1/30/2026 10:51,7.1,19.81,,,,,,,
79,1/30/2026 10:51,4.8,19.82,,,,,,,
80,1/30/2026 10:51,7.1,19.81,,,,,,,
81,1/30/2026 10:51,4.8,19.81,,,,,,,
82,1/30/2026 10:51,7.1,19.81,,,,,,,
83,1/30/2026 10:51,7.1,19.81,,,,,,,
84,1/30/2026 10:51,7.1,19.82,,,,,,,
85,1/30/2026 10:51,7.1,19.82,,,,,,,
86,1/30/2026 10:51,7.1,19.82,,,,,,,
87,1/30/2026 10:51,7.1,19.82,,,,,,,
88,1/30/2026 10:51,7.1,19.82,,,,,,,
89,1/30/2026 10:51,4.8,19.82,,,,,,,
90,1/30/2026 10:51,7.1,19.82,,,,,,,
91,1/30/2026 10:51,4.8,19.82,,,,,,,
92,1/30/2026 10:51,7.1,19.82,,,,,,,
93,1/30/2026 10:51,7.1,19.82,,,,,,,
94,1/30/2026 10:51,7.1,19.82,,,,,,,
95,1/30/2026 10:51,7.1,19.82,,,,,,,
96,1/30/2026 10:51,7.1,19.84,,,,,,,
97,1/30/2026 10:51,7.1,19.84,,,,,,,
98,1/30/2026 10:51,7.1,19.84,,,,,,,
99,1/30/2026 10:51,7.1,19.84,,,,,,,
100,1/30/2026 10:51,7.1,19.84,,,,,,,
101,1/30/2026 10:51,7.1,19.84,,,,,,,
102,1/30/2026 10:51,3.7,19.84,,,,,,,
103,1/30/2026 10:51,7.1,19.84,,,,,,,
104,1/30/2026 10:51,7.1,19.85,,,,,,,
105,1/30/2026 10:51,7.1,19.84,,,,,,,
106,1/30/2026 10:51,7.1,19.85,,,,,,,
107,1/30/2026 10:51,7.1,19.84,,,,,,,
108,1/30/2026 10:51,7.1,19.85,,,,,,,
109,1/30/2026 10:51,7.1,19.85,,,,,,,
110,1/30/2026 10:51,7.1,19.85,,,,,,,
111,1/30/2026 10:51,7.1,19.85,,,,,,,
112,1/30/2026 10:51,7.1,19.85,,,,,,,
113,1/30/2026 10:51,3.7,19.85,,,,,,,
114,1/30/2026 10:51,7.1,19.85,,,,,,,
115,1/30/2026 10:51,7.1,19.85,,,,,,,
116,1/30/2026 10:51,7.1,19.86,,,,,,,
117,1/30/2026 10:51,7.1,19.86,,,,,,,
118,1/30/2026 10:51,7.1,19.86,,,,,,,
119,1/30/2026 10:51,4.8,19.86,,,,,,,
120,1/30/2026 10:51,7.1,19.86,,,,,,,
121,1/30/2026 10:52,7.1,19.85,,,,,,,
122,1/30/2026 10:52,7.1,19.86,,,,,,,
123,1/30/2026 10:52,7.1,19.86,,,,,,,
124,1/30/2026 10:52,7.1,19.86,,,,,,,
125,1/30/2026 10:52,7.1,19.88,,,,,,,
126,1/30/2026 10:52,7.1,19.86,,,,,,,
127,1/30/2026 10:52,7.1,19.86,,,,,,,
128,1/30/2026 10:52,7.1,19.88,,,,,,,
129,1/30/2026 10:52,3.7,19.88,,,,,,,
130,1/30/2026 10:52,7.1,19.88,,,,,,,
131,1/30/2026 10:52,4.8,19.86,,,,,,,
132,1/30/2026 10:52,7.1,19.88,,,,,,,
133,1/30/2026 10:52,7.1,19.88,,,,,,,
134,1/30/2026 10:52,7.1,19.88,,,,,,,
135,1/30/2026 10:52,7.1,19.88,,,,,,,
136,1/30/2026 10:52,7.1,19.89,,,,,,,
137,1/30/2026 10:52,7.1,19.88,,,,,,,
138,1/30/2026 10:52,7.1,19.89,,,,,,,
139,1/30/2026 10:52,7.1,19.89,,,,,,,
140,1/30/2026 10:52,3.7,19.89,,,,,,,
141,1/30/2026 10:52,7.1,19.89,,,,,,,
142,1/30/2026 10:52,7.1,19.89,,,,,,,
143,1/30/2026 10:52,4.8,19.89,,,,,,,
144,1/30/2026 10:52,7.1,19.89,,,,,,,
145,1/30/2026 10:52,3.3,19.9,,,,,,,
146,1/30/2026 10:52,7.1,19.89,,,,,,,
147,1/30/2026 10:52,7.1,19.9,,,,,,,
148,1/30/2026 10:52,7.1,19.9,,,,,,,
149,1/30/2026 10:52,7.1,19.9,,,,,,,
150,1/30/2026 10:52,7.1,19.89,,,,,,,
151,1/30/2026 10:52,7.1,19.9,,,,,,,
152,1/30/2026 10:52,3.3,19.9,,,,,,,
153,1/30/2026 10:52,7.1,19.9,,,,,,,
154,1/30/2026 10:52,7.1,19.9,,,,,,,
155,1/30/2026 10:52,3.3,19.9,,,,,,,
156,1/30/2026 10:52,7.1,19.9,,,,,,,
157,1/30/2026 10:52,7.1,19.9,,,,,,,
158,1/30/2026 10:52,4.8,19.9,,,,,,,
159,1/30/2026 10:52,7.1,19.9,,,,,,,
160,1/30/2026 10:52,7.1,19.9,,,,,,,
161,1/30/2026 10:52,3.7,19.9,,,,,,,
162,1/30/2026 10:52,7.1,19.9,,,,,,,
163,1/30/2026 10:52,7.1,19.92,,,,,,,
164,1/30/2026 10:52,7.1,19.92,,,,,,,
165,1/30/2026 10:52,7.1,19.92,,,,,,,
166,1/30/2026 10:52,4.8,19.92,,,,,,,
167,1/30/2026 10:52,4.8,19.92,,,,,,,
168,1/30/2026 10:52,4.8,19.92,,,,,,,
169,1/30/2026 10:52,7.1,19.92,,,,,,,
170,1/30/2026 10:52,7.1,19.92,,,,,,,
171,1/30/2026 10:52,7.1,19.92,,,,,,,
172,1/30/2026 10:52,7.1,19.92,,,,,,,
173,1/30/2026 10:52,7.1,19.93,,,,,,,
174,1/30/2026 10:52,7.1,19.92,,,,,,,
175,1/30/2026 10:52,7.1,19.93,,,,,,,
176,1/30/2026 10:52,7.1,19.93,,,,,,,
177,1/30/2026 10:52,7.1,19.93,,,,,,,
178,1/30/2026 10:52,7.1,19.93,,,,,,,
179,1/30/2026 10:52,7.1,19.93,,,,,,,
180,1/30/2026 10:52,7.1,19.94,,,,,,,
181,1/30/2026 10:53,7.1,19.94,,,,,,,
182,1/30/2026 10:53,4.8,19.93,,,,,,,
183,1/30/2026 10:53,7.1,19.93,,,,,,,
184,1/30/2026 10:53,7.1,19.94,,,,,,,
185,1/30/2026 10:53,7.1,19.94,,,,,,,
186,1/30/2026 10:53,7.1,19.94,,,,,,,
187,1/30/2026 10:53,7.1,19.94,,,,,,,
188,1/30/2026 10:53,4.8,19.93,,,,,,,
189,1/30/2026 10:53,7.1,19.93,,,,,,,
190,1/30/2026 10:53,3.7,19.94,,,,,,,
191,1/30/2026 10:53,3.7,19.94,,,,,,,
192,1/30/2026 10:53,3.7,19.94,,,,,,,
193,1/30/2026 10:53,7.1,19.94,,,,,,,
194,1/30/2026 10:53,7.1,19.96,,,,,,,
195,1/30/2026 10:53,7.1,19.96,,,,,,,
196,1/30/2026 10:53,7.1,19.96,,,,,,,
197,1/30/2026 10:53,7.1,19.94,,,,,,,
198,1/30/2026 10:53,7.1,19.96,,,,,,,
199,1/30/2026 10:53,7.1,19.96,,,,,,,
200,1/30/2026 10:53,7.1,19.96,,,,,,,
201,1/30/2026 10:53,4.8,19.96,,,,,,,
202,1/30/2026 10:53,3.7,19.96,,,,,,,
203,1/30/2026 10:53,7.1,19.97,,,,,,,
204,1/30/2026 10:53,7.1,19.97,,,,,,,
205,1/30/2026 10:53,7.1,19.97,,,,,,,
206,1/30/2026 10:53,7.1,19.97,,,,,,,
207,1/30/2026 10:53,7.1,19.97,,,,,,,
208,1/30/2026 10:53,7.1,19.97,,,,,,,
209,1/30/2026 10:53,7.1,19.97,,,,,,,
210,1/30/2026 10:53,7.1,19.97,,,,,,,
211,1/30/2026 10:53,7.1,19.97,,,,,,,
212,1/30/2026 10:53,7.1,19.97,,,,,,,
213,1/30/2026 10:53,7.1,19.97,,,,,,,
214,1/30/2026 10:53,7.1,19.98,,,,,,,
215,1/30/2026 10:53,7.1,19.98,,,,,,,
216,1/30/2026 10:53,7.1,19.98,,,,,,,
217,1/30/2026 10:53,7.1,19.98,,,,,,,
218,1/30/2026 10:53,7.1,19.98,,,,,,,
219,1/30/2026 10:53,7.1,19.98,,,,,,,
220,1/30/2026 10:53,7.1,19.98,,,,,,,
221,1/30/2026 10:53,4.8,19.98,,,,,,,
222,1/30/2026 10:53,7.1,20,,,,,,,
223,1/30/2026 10:53,7.1,19.98,,,,,,,
224,1/30/2026 10:53,7.1,19.98,,,,,,,
225,1/30/2026 10:53,7.1,20,,,,,,,
226,1/30/2026 10:53,7.1,19.98,,,,,,,
227,1/30/2026 10:53,7.1,19.98,,,,,,,
228,1/30/2026 10:53,7.1,20,,,,,,,
229,1/30/2026 10:53,7.1,20,,,,,,,
230,1/30/2026 10:53,7.1,20,,,,,,,
231,1/30/2026 10:53,7.1,20,,,,,,,
232,1/30/2026 10:53,7.1,20,,,,,,,
233,1/30/2026 10:53,7.1,20,,,,,,,
234,1/30/2026 10:53,7.1,20,,,,,,,
235,1/30/2026 10:53,7.1,20.01,,,,,,,
236,1/30/2026 10:53,7.1,20.01,,,,,,,
237,1/30/2026 10:53,7.1,20.01,,,,,,,
238,1/30/2026 10:53,7.1,20.01,,,,,,,
239,1/30/2026 10:53,7.1,20,,,,,,,
240,1/30/2026 10:53,7.1,20.01,,,,,,,
241,1/30/2026 10:54,4.8,20.01,,,,,,,
242,1/30/2026 10:54,4.8,20.01,,,,,,,
243,1/30/2026 10:54,7.1,20.01,,,,,,,
244,1/30/2026 10:54,7.1,20.01,,,,,,,
245,1/30/2026 10:54,7.1,20.01,,,,,,,
246,1/30/2026 10:54,7.1,20.01,,,,,,,
247,1/30/2026 10:54,7.1,20.01,,,,,,,
248,1/30/2026 10:54,7.1,20.02,,,,,,,
249,1/30/2026 10:54,7.1,20.02,,,,,,,
250,1/30/2026 10:54,7.1,20.02,,,,,,,
251,1/30/2026 10:54,3.3,20.02,,,,,,,
252,1/30/2026 10:54,7.1,20.02,,,,,,,
253,1/30/2026 10:54,7.1,20.02,,,,,,,
254,1/30/2026 10:54,4.8,20.02,,,,,,,
255,1/30/2026 10:54,7.1,20.02,,,,,,,
256,1/30/2026 10:54,7.1,20.04,,,,,,,
257,1/30/2026 10:54,7.1,20.04,,,,,,,
258,1/30/2026 10:54,7.1,20.02,,,,,,,
259,1/30/2026 10:54,7.1,20.02,,,,,,,
260,1/30/2026 10:54,7.1,20.04,,,,,,,
261,1/30/2026 10:54,7.1,20.04,,,,,,,
262,1/30/2026 10:54,7.1,20.04,,,,,,,
263,1/30/2026 10:54,7.1,20.04,,,,,,,
264,1/30/2026 10:54,7.1,20.04,,,,,,,
265,1/30/2026 10:54,7.1,20.04,,,,,,,
266,1/30/2026 10:54,7.1,20.04,,,,,,,
267,1/30/2026 10:54,7.1,20.04,,,,,,,
268,1/30/2026 10:54,4.8,20.04,,,,,,,
269,1/30/2026 10:54,3.7,20.04,,,,,,,
270,1/30/2026 10:54,7.1,20.05,,,,,,,
271,1/30/2026 10:54,7.1,20.05,,,,,,,
272,1/30/2026 10:54,7.1,20.05,,,,,,,
273,1/30/2026 10:54,7.1,20.05,,,,,,,
274,1/30/2026 10:54,7.1,20.05,,,,,,,
275,1/30/2026 10:54,7.1,20.06,,,,,,,
276,1/30/2026 10:54,7.1,20.05,,,,,,,
277,1/30/2026 10:54,7.1,20.05,,,,,,,
278,1/30/2026 10:54,7.1,20.05,,,,,,,
279,1/30/2026 10:54,7.1,20.06,,,,,,,
280,1/30/2026 10:54,7.1,20.06,,,,,,,
281,1/30/2026 10:54,7.1,20.06,,,,,,,
282,1/30/2026 10:54,3.7,20.05,,,,,,,
283,1/30/2026 10:54,7.1,20.06,,,,,,,
284,1/30/2026 10:54,7.1,20.06,,,,,,,
285,1/30/2026 10:54,4.8,20.06,,,,,,,
286,1/30/2026 10:54,7.1,20.06,,,,,,,
287,1/30/2026 10:54,4.8,20.06,,,,,,,
288,1/30/2026 10:54,7.1,20.06,,,,,,,
289,1/30/2026 10:54,7.1,20.06,,,,,,,
290,1/30/2026 10:54,7.1,20.08,,,,,,,
291,1/30/2026 10:54,7.1,20.08,,,,,,,
292,1/30/2026 10:54,7.1,20.08,,,,,,,
293,1/30/2026 10:54,7.1,20.08,,,,,,,
294,1/30/2026 10:54,7.1,20.06,,,,,,,
295,1/30/2026 10:54,7.1,20.08,,,,,,,
296,1/30/2026 10:54,7.1,20.08,,,,,,,
297,1/30/2026 10:54,4.8,20.08,,,,,,,
298,1/30/2026 10:54,7.1,20.08,,,,,,,
299,1/30/2026 10:54,7.1,20.08,,,,,,,
300,1/30/2026 10:54,7.1,20.08,,,,,,,
301,1/30/2026 10:55,7.1,20.08,,,,,,,
302,1/30/2026 10:55,7.1,20.09,,,,,,,
303,1/30/2026 10:55,7.1,20.09,,,,,,,
304,1/30/2026 10:55,7.1,20.09,,,,,,,
305,1/30/2026 10:55,4.8,20.09,,,,,,,
306,1/30/2026 10:55,7.1,20.09,,,,,,,
307,1/30/2026 10:55,7.1,20.09,,,,,,,
308,1/30/2026 10:55,7.1,20.09,,,,,,,
309,1/30/2026 10:55,7.1,20.09,,,,,,,
310,1/30/2026 10:55,7.1,20.09,,,,,,,
311,1/30/2026 10:55,7.1,20.09,,,,,,,
312,1/30/2026 10:55,3.7,20.09,,,,,,,
313,1/30/2026 10:55,3.7,20.1,,,,,,,
314,1/30/2026 10:55,7.1,20.09,,,,,,,
315,1/30/2026 10:55,4.8,20.09,,,,,,,
316,1/30/2026 10:55,7.1,20.09,,,,,,,
317,1/30/2026 10:55,7.1,20.1,,,,,,,
318,1/30/2026 10:55,3.7,20.1,,,,,,,
319,1/30/2026 10:55,7.1,20.1,,,,,,,
320,1/30/2026 10:55,4.8,20.1,,,,,,,
321,1/30/2026 10:55,7.1,20.1,,,,,,,
322,1/30/2026 10:55,4.8,20.1,,,,,,,
323,1/30/2026 10:55,3.7,20.1,,,,,,,
324,1/30/2026 10:55,7.1,20.1,,,,,,,
325,1/30/2026 10:55,7.1,20.1,,,,,,,
326,1/30/2026 10:55,4.8,20.1,,,,,,,
327,1/30/2026 10:55,3.7,20.1,,,,,,,
328,1/30/2026 10:55,7.1,20.12,,,,,,,
329,1/30/2026 10:55,3.7,20.1,,,,,,,
330,1/30/2026 10:55,7.1,20.12,,,,,,,
331,1/30/2026 10:55,7.1,20.12,,,,,,,
332,1/30/2026 10:55,7.1,20.12,,,,,,,
333,1/30/2026 10:55,7.1,20.12,,,,,,,
334,1/30/2026 10:55,7.1,20.12,,,,,,,
335,1/30/2026 10:55,7.1,20.12,,,,,,,
336,1/30/2026 10:55,7.1,20.12,,,,,,,
337,1/30/2026 10:55,7.1,20.13,,,,,,,
338,1/30/2026 10:55,7.1,20.12,,,,,,,
339,1/30/2026 10:55,7.1,20.13,,,,,,,
340,1/30/2026 10:55,7.1,20.13,,,,,,,
341,1/30/2026 10:55,7.1,20.13,,,,,,,
342,1/30/2026 10:55,7.1,20.13,,,,,,,
343,1/30/2026 10:55,7.1,20.12,,,,,,,
344,1/30/2026 10:55,7.1,20.13,,,,,,,
345,1/30/2026 10:55,7.1,20.13,,,,,,,
346,1/30/2026 10:55,3.7,20.13,,,,,,,
347,1/30/2026 10:55,7.1,20.13,,,,,,,
348,1/30/2026 10:55,7.1,20.13,,,,,,,
349,1/30/2026 10:55,7.1,20.13,,,,,,,
350,1/30/2026 10:55,4.8,20.13,,,,,,,
351,1/30/2026 10:55,7.1,20.14,,,,,,,
352,1/30/2026 10:55,7.1,20.13,,,,,,,
353,1/30/2026 10:55,7.1,20.14,,,,,,,
354,1/30/2026 10:55,4.8,20.13,,,,,,,
355,1/30/2026 10:55,7.1,20.14,,,,,,,
356,1/30/2026 10:55,7.1,20.14,,,,,,,
357,1/30/2026 10:55,7.1,20.14,,,,,,,
358,1/30/2026 10:55,7.1,20.14,,,,,,,
359,1/30/2026 10:55,7.1,20.14,,,,,,,
360,1/30/2026 10:55,7.1,20.14,,,,,,,
361,1/30/2026 10:56,7.1,20.14,,,,,,,
362,1/30/2026 10:56,7.1,20.14,,,,,,,
363,1/30/2026 10:56,7.1,20.14,,,,,,,
364,1/30/2026 10:56,7.1,20.14,,,,,,,
365,1/30/2026 10:56,7.1,20.16,,,,,,,
366,1/30/2026 10:56,7.1,20.14,,,,,,,
367,1/30/2026 10:56,7.1,20.16,,,,,,,
368,1/30/2026 10:56,7.1,20.14,,,,,,,
369,1/30/2026 10:56,7.1,20.16,,,,,,,
370,1/30/2026 10:56,3.7,20.16,,,,,,,
371,1/30/2026 10:56,7.1,20.16,,,,,,,
372,1/30/2026 10:56,4.8,20.16,,,,,,,
373,1/30/2026 10:56,7.1,20.16,,,,,,,
374,1/30/2026 10:56,7.1,20.16,,,,,,,
375,1/30/2026 10:56,7.1,20.16,,,,,,,
376,1/30/2026 10:56,7.1,20.16,,,,,,,
377,1/30/2026 10:56,7.1,20.16,,,,,,,
378,1/30/2026 10:56,7.1,20.16,,,,,,,
379,1/30/2026 10:56,7.1,20.16,,,,,,,
380,1/30/2026 10:56,7.1,20.16,,,,,,,
381,1/30/2026 10:56,7.1,20.17,,,,,,,
382,1/30/2026 10:56,7.1,20.17,,,,,,,
383,1/30/2026 10:56,7.1,20.16,,,,,,,
384,1/30/2026 10:56,7.1,20.16,,,,,,,
385,1/30/2026 10:56,7.1,20.17,,,,,,,
386,1/30/2026 10:56,4.8,20.17,,,,,,,
387,1/30/2026 10:56,7.1,20.17,,,,,,,
388,1/30/2026 10:56,7.1,20.17,,,,,,,
389,1/30/2026 10:56,7.1,20.18,,,,,,,
390,1/30/2026 10:56,7.1,20.17,,,,,,,
391,1/30/2026 10:56,7.1,20.17,,,,,,,
392,1/30/2026 10:56,3.7,20.18,,,,,,,
393,1/30/2026 10:56,7.1,20.17,,,,,,,
394,1/30/2026 10:56,7.1,20.17,,,,,,,
395,1/30/2026 10:56,7.1,20.18,,,,,,,
396,1/30/2026 10:56,7.1,20.18,,,,,,,
397,1/30/2026 10:56,4.8,20.17,,,,,,,
398,1/30/2026 10:56,7.1,20.17,,,,,,,
399,1/30/2026 10:56,7.1,20.18,,,,,,,
400,1/30/2026 10:56,7.1,20.18,,,,,,,
401,1/30/2026 10:56,7.1,20.18,,,,,,,
402,1/30/2026 10:56,7.1,20.18,,,,,,,
403,1/30/2026 10:56,7.1,20.18,,,,,,,
404,1/30/2026 10:56,7.1,20.18,,,,,,,
405,1/30/2026 10:56,4.8,20.18,,,,,,,
406,1/30/2026 10:56,7.1,20.18,,,,,,,
407,1/30/2026 10:56,7.1,20.2,,,,,,,
408,1/30/2026 10:56,7.1,20.2,,,,,,,
409,1/30/2026 10:56,7.1,20.18,,,,,,,
410,1/30/2026 10:56,7.1,20.2,,,,,,,
411,1/30/2026 10:56,7.1,20.2,,,,,,,
412,1/30/2026 10:56,7.1,20.2,,,,,,,
413,1/30/2026 10:56,3.7,20.2,,,,,,,
414,1/30/2026 10:56,7.1,20.2,,,,,,,
415,1/30/2026 10:56,7.1,20.2,,,,,,,
416,1/30/2026 10:56,7.1,20.2,,,,,,,
417,1/30/2026 10:56,3.7,20.2,,,,,,,
418,1/30/2026 10:56,7.1,20.2,,,,,,,
419,1/30/2026 10:56,7.1,20.2,,,,,,,
420,1/30/2026 10:56,7.1,20.2,,,,,,,
421,1/30/2026 10:57,3.7,20.2,,,,,,,
422,1/30/2026 10:57,7.1,20.21,,,,,,,
423,1/30/2026 10:57,7.1,20.2,,,,,,,
424,1/30/2026 10:57,7.1,20.21,,,,,,,
425,1/30/2026 10:57,4.8,20.2,,,,,,,
426,1/30/2026 10:57,7.1,20.21,,,,,,,
427,1/30/2026 10:57,4.8,20.21,,,,,,,
428,1/30/2026 10:57,7.1,20.21,,,,,,,
429,1/30/2026 10:57,7.1,20.21,,,,,,,
430,1/30/2026 10:57,3.7,20.21,,,,,,,
431,1/30/2026 10:57,7.1,20.21,,,,,,,
432,1/30/2026 10:57,7.1,20.21,,,,,,,
433,1/30/2026 10:57,7.1,20.23,,,,,,,
434,1/30/2026 10:57,7.1,20.21,,,,,,,
435,1/30/2026 10:57,7.1,20.23,,,,,,,
436,1/30/2026 10:57,7.1,20.23,,,,,,,
437,1/30/2026 10:57,7.1,20.23,,,,,,,
438,1/30/2026 10:57,4.8,20.23,,,,,,,
439,1/30/2026 10:57,3.7,20.21,,,,,,,
440,1/30/2026 10:57,4.8,20.23,,,,,,,
441,1/30/2026 10:57,7.1,20.21,,,,,,,
442,1/30/2026 10:57,7.1,20.23,,,,,,,
443,1/30/2026 10:57,7.1,20.23,,,,,,,
444,1/30/2026 10:57,7.1,20.23,,,,,,,
445,1/30/2026 10:57,7.1,20.23,,,,,,,
446,1/30/2026 10:57,7.1,20.23,,,,,,,
447,1/30/2026 10:57,7.1,20.23,,,,,,,
448,1/30/2026 10:57,7.1,20.23,,,,,,,
449,1/30/2026 10:57,7.1,20.23,,,,,,,
450,1/30/2026 10:57,3.7,20.23,,,,,,,
451,1/30/2026 10:57,7.1,20.23,,,,,,,
452,1/30/2026 10:57,7.1,20.24,,,,,,,
453,1/30/2026 10:57,7.1,20.23,,,,,,,
454,1/30/2026 10:57,7.1,20.24,,,,,,,
455,1/30/2026 10:57,7.1,20.23,,,,,,,
456,1/30/2026 10:57,7.1,20.24,,,,,,,
457,1/30/2026 10:57,7.1,20.24,,,,,,,
458,1/30/2026 10:57,3.7,20.24,,,,,,,
459,1/30/2026 10:57,7.1,20.24,,,,,,,
460,1/30/2026 10:57,7.1,20.24,,,,,,,
461,1/30/2026 10:57,7.1,20.24,,,,,,,
462,1/30/2026 10:57,7.1,20.24,,,,,,,
463,1/30/2026 10:57,7.1,20.24,,,,,,,
464,1/30/2026 10:57,4.8,20.24,,,,,,,
465,1/30/2026 10:57,7.1,20.25,,,,,,,
466,1/30/2026 10:57,7.1,20.25,,,,,,,
467,1/30/2026 10:57,7.1,20.25,,,,,,,
468,1/30/2026 10:57,7.1,20.24,,,,,,,
469,1/30/2026 10:57,3.7,20.25,,,,,,,
470,1/30/2026 10:57,7.1,20.25,,,,,,,
471,1/30/2026 10:57,7.1,20.25,,,,,,,
472,1/30/2026 10:57,7.1,20.25,,,,,,,
473,1/30/2026 10:57,7.1,20.25,,,,,,,
474,1/30/2026 10:57,7.1,20.25,,,,,,,
475,1/30/2026 10:57,7.1,20.25,,,,,,,
476,1/30/2026 10:57,7.1,20.25,,,,,,,
477,1/30/2026 10:57,7.1,20.27,,,,,,,
478,1/30/2026 10:57,4.8,20.27,,,,,,,
479,1/30/2026 10:57,7.1,20.27,,,,,,,
480,1/30/2026 10:57,7.1,20.27,,,,,,,
481,1/30/2026 10:58,7.1,20.25,,,,,,,
482,1/30/2026 10:58,7.1,20.27,,,,,,,
483,1/30/2026 10:58,7.1,20.27,,,,,,,
